traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
0.0,25.7,228.59229,2.1355317,2.038234,157.12195,0.12236912,-0.15294932
0.0,25.8,228.80516,2.1231127,2.0863416,217.3915,0.16930802,-0.10596971
0.0,25.9,229.01703,2.1151588,2.2047946,275.32803,0.21442994,-0.060821783
0.0,26.0,229.22836,2.1115012,2.0980144,330.93158,0.25773486,-0.017504904
0.0,26.1,229.43956,2.11197,2.0002592,384.2021,0.2992228,0.023981502
0.0,26.2,229.65102,2.1163952,2.2528932,435.1396,0.33889374,0.06363799
0.0,26.3,229.86316,2.124606,1.9901191,483.74405,0.3767477,0.10146508
0.0,26.4,230.07631,2.1364312,2.2463772,530.0155,0.41278467,0.13746329
0.0,26.5,230.29085,2.1516995,1.9800901,573.954,0.44700465,0.1716331
0.0,26.6,230.50711,2.170238,2.3048918,615.5594,0.47940764,0.20397496
0.0,26.7,230.72539,2.1918745,2.2054238,654.83185,0.5099936,0.23448937
0.0,26.8,230.946,2.2164357,2.4500895,691.77124,0.5387626,0.26317677
0.0,26.9,231.1692,2.2437472,2.160274,726.3776,0.56571466,0.29003757
0.0,27.0,231.3953,2.2736351,2.2067742,758.651,0.5908497,0.31507227
0.0,27.1,231.6245,2.3059244,2.3908203,788.5914,0.6141677,0.33828127
0.0,27.2,231.85703,2.3404398,2.4259427,816.19867,0.63566875,0.3596651
0.0,27.3,232.09312,2.3770053,2.3897238,841.473,0.65535283,0.37922415
0.0,27.4,232.33296,2.4154444,2.4680545,864.4143,0.67321986,0.3969589
0.0,27.5,232.5767,2.4555802,2.5625007,885.02264,0.68926996,0.41286987
0.0,27.6,232.82454,2.497235,2.5171132,903.2979,0.7035031,0.42695752
0.0,27.7,233.07658,2.5402308,2.5229974,919.2402,0.71591914,0.43922237
0.0,27.8,233.33298,2.5843892,2.5236354,932.8494,0.7265182,0.44966495
0.0,27.9,233.5938,2.629531,2.637782,944.1257,0.73530036,0.4582858
0.0,28.0,233.85916,2.6754763,2.7545288,953.06885,0.74226546,0.46508554
0.0,28.1,234.1291,2.7220452,2.7817774,959.6791,0.74741364,0.47006467
0.0,28.2,234.4037,2.769057,2.8981678,963.95624,0.75074476,0.47322387
0.0,28.3,234.68298,2.8163307,3.01671,965.90045,0.7522589,0.47456372
0.0,28.4,234.96696,2.8636842,2.9955118,965.5116,0.75195605,0.4740849
0.0,28.5,235.25565,2.9109352,2.926342,962.78973,0.74983627,0.4717881
0.0,28.6,235.549,2.9579012,2.9395645,957.73486,0.74589944,0.46767405
0.0,28.7,235.847,3.0043986,2.973182,950.347,0.7401456,0.46174338
0.0,28.8,236.14958,3.0502439,3.1151965,940.62604,0.7325748,0.45399693
0.0,28.9,236.4567,3.0952523,3.0667105,928.57214,0.723187,0.44443542
0.0,29.0,236.76822,3.139239,3.0701156,914.1852,0.71198225,0.43305963
0.0,29.1,237.08406,3.1820185,3.2008445,897.4653,0.6989605,0.41987044
0.0,29.2,237.4041,3.2234051,3.2659864,878.4123,0.6841217,0.4048686
0.0,29.3,237.7282,3.2632122,3.267719,857.0263,0.667466,0.38805503
0.0,29.4,238.05618,3.3012528,3.1421096,833.3073,0.64899325,0.3694305
0.0,29.5,238.3879,3.3373392,3.305058,807.2553,0.6287035,0.348996
0.0,29.6,238.72311,3.3712833,3.2874312,778.87024,0.60659677,0.32675236
0.0,29.7,239.06163,3.4028966,3.3543177,748.1522,0.5826731,0.3027005
0.0,29.8,239.40324,3.43199,3.268533,715.10114,0.5569324,0.2768413
0.0,29.9,239.74768,3.4583735,3.398527,679.7171,0.52937466,0.24917571
0.0,30.0,240.09467,3.4818575,3.536367,642.0,0.5,0.21970461
